"StopNumber","Distance"
84009,0
84029,0.7
84019,1
83099,1.5
83079,1.9
83059,2.3
83049,2.5
83029,2.9
82069,3.3
82049,3.8
82029,4.2
82099,4.7
82089,4.9
81199,5.4
81189,5.7
81179,6.2
80279,6.6
91099,6.9
91089,7.4
05649,14.9
14061,15.2
14071,15.7
14081,16.1
14101,16.5
14141,17.3
14121,17.6
14131,18
14151,18.5
14161,19
14171,19.3
15141,20
15151,20.3
15161,20.5
15191,21
15201,21.3
15221,21.9
16201,22.2
16011,22.6
16021,23
16031,23.3
16041,23.5
16051,23.8
16061,24
16071,24.3
16081,24.6
17011,24.9
17021,25.2
17381,25.5
17031,25.8
17041,26.1
17061,26.6
17071,26.8
20291,27.2
20281,27.7
20131,28.3
20141,28.7
20151,29
20201,29.6
20211,29.8
20231,30.2
20121,30.7
20241,30.8
21011,32.5
21021,33
21171,33.8
21551,34.1
21561,34.5
21571,34.7
21581,34.9
21591,35.2
21601,35.5
21611,35.8
21211,36.3
21681,36.6
21691,36.9
22009,37.8